T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,Cl6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
8.316999,26.98605,22.502605,26.943438,652.732178,-814.579956,-964.726196,-920.6297,-570.005798,345.635468,633.948425,403.051392,1.162799,1.16301,1.162824,1.163288,1.163428,1.163463,1.163176,1.16311,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246985,0.308226,0.365039,0.348354,0.215683,-0.130784,-0.239878,-0.152509
11.573,26.993998,22.509974,26.942062,652.942749,-812.492126,-964.147217,-920.301514,-569.632629,346.062042,634.088562,403.10321,1.162881,1.163005,1.162875,1.163288,1.163433,1.16347,1.1632,1.163134,1.0,1.0,9800.0,50.0,600.0,27.0,-0.247065,0.307436,0.36482,0.34823,0.215541,-0.130945,-0.239931,-0.152529
14.862,26.986263,22.493364,26.942499,652.595459,-814.783447,-965.825378,-920.239685,-569.609497,345.931396,633.732178,402.55722,1.162783,1.163021,1.162854,1.163299,1.163428,1.163447,1.163191,1.163081,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246933,0.308303,0.365455,0.348206,0.215533,-0.130896,-0.239796,-0.152322
18.16,26.997198,22.496298,26.943062,652.652954,-817.534241,-965.354309,-920.052185,-569.861877,345.795776,633.619019,401.977295,1.1628,1.162988,1.162791,1.163299,1.163393,1.163449,1.163189,1.163122,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246955,0.309344,0.365277,0.348135,0.215628,-0.130844,-0.239753,-0.152103
21.957001,26.956123,22.424307,26.942688,653.086548,-817.161621,-965.596558,-920.696655,-570.121338,345.891541,633.655884,402.280914,1.162847,1.163012,1.162833,1.16327,1.163434,1.163476,1.163188,1.163134,1.0,1.0,9800.0,50.0,600.0,27.0,-0.247119,0.309203,0.365369,0.348379,0.215726,-0.130881,-0.239767,-0.152218
25.257,26.980768,22.429302,26.94075,651.990173,-813.44696,-966.51947,-921.063416,-570.55011,345.30307,633.171875,403.718933,1.162803,1.162956,1.162809,1.163289,1.163394,1.163453,1.163135,1.163084,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246704,0.307797,0.365718,0.348518,0.215888,-0.130658,-0.239584,-0.152762
28.515999,27.00024,22.408447,26.941687,652.009583,-820.381531,-966.486511,-920.235168,-573.023804,343.036194,629.611389,400.337494,1.162784,1.162959,1.162815,1.163269,1.163413,1.163453,1.163186,1.163131,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246712,0.310421,0.365705,0.348205,0.216825,-0.1298,-0.238236,-0.151482
31.792,26.991438,22.435358,26.940937,651.663513,-815.27771,-967.473755,-923.228516,-571.490051,344.138977,632.324768,401.764191,1.162754,1.162954,1.162808,1.163227,1.163356,1.163428,1.163125,1.163048,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246581,0.30849,0.366079,0.349337,0.216244,-0.130218,-0.239263,-0.152022
35.048,26.97266,22.47126,26.941813,651.449829,-814.882996,-966.50415,-922.572021,-571.533936,344.8703,633.137573,402.550262,1.162827,1.162973,1.162805,1.16328,1.163389,1.163458,1.163174,1.163159,1.0,1.0,9800.0,50.0,600.0,27.0,-0.2465,0.308341,0.365712,0.349089,0.216261,-0.130494,-0.239571,-0.15232
38.306,26.964445,22.498796,26.943125,650.436523,-814.534729,-966.7948,-921.324219,-571.481323,344.435699,632.972046,401.89151,1.162803,1.162975,1.162852,1.163285,1.163453,1.16347,1.163204,1.163133,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246116,0.308209,0.365822,0.348617,0.216241,-0.13033,-0.239508,-0.15207
41.561001,26.969032,22.512844,26.941813,649.65387,-815.497559,-967.047974,-922.062073,-571.442627,344.525208,632.630249,401.641113,1.16282,1.162973,1.162808,1.163261,1.163364,1.163446,1.163152,1.163105,1.0,1.0,9800.0,50.0,600.0,27.0,-0.24582,0.308573,0.365918,0.348896,0.216226,-0.130364,-0.239379,-0.151976
44.820999,26.973621,22.493238,26.942125,650.678345,-815.429077,-967.24469,-921.90448,-571.833496,344.032684,632.076599,401.739777,1.162785,1.162975,1.162872,1.163281,1.163444,1.16348,1.163211,1.163137,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246208,0.308547,0.365992,0.348836,0.216374,-0.130177,-0.239169,-0.152013
48.078999,26.96818,22.488056,26.941813,650.79895,-815.417175,-967.519714,-922.723022,-571.461182,343.433685,631.68866,400.543762,1.162819,1.163006,1.162815,1.163296,1.163436,1.163455,1.163219,1.163126,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246254,0.308543,0.366096,0.349146,0.216233,-0.129951,-0.239023,-0.15156
51.338001,26.973408,22.48406,26.942499,650.980652,-815.854065,-967.994934,-923.16272,-572.12207,343.010376,631.216919,400.263397,1.162846,1.163007,1.162845,1.163299,1.163406,1.163473,1.163188,1.163161,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246322,0.308708,0.366276,0.349312,0.216483,-0.129791,-0.238844,-0.151454
54.604,26.985943,22.494425,26.943062,644.372498,-816.109802,-967.019409,-923.647522,-572.251953,343.169678,631.897095,401.662598,1.162836,1.16301,1.162902,1.163302,1.163477,1.163529,1.163243,1.163182,1.0,1.0,9800.0,50.0,600.0,27.0,-0.243822,0.308805,0.365907,0.349496,0.216532,-0.129851,-0.239101,-0.151984
57.870998,26.976128,22.486183,26.942312,650.292419,-816.947266,-967.573364,-922.822388,-573.206604,343.429077,632.146606,401.335236,1.16285,1.163018,1.162846,1.163282,1.163449,1.163437,1.163205,1.163144,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246062,0.309122,0.366117,0.349184,0.216894,-0.129949,-0.239196,-0.15186
61.125999,26.973461,22.487743,26.942062,650.065857,-816.372009,-968.582336,-923.09668,-573.242371,342.511658,631.811646,402.844421,1.162837,1.163009,1.162858,1.163308,1.163435,1.163455,1.16319,1.163123,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245976,0.308904,0.366499,0.349287,0.216907,-0.129602,-0.239069,-0.152431
64.389999,26.983862,22.467077,26.942751,649.96759,-816.827087,-970.43689,-923.267944,-573.009949,342.790344,632.478821,403.398193,1.162832,1.163012,1.162843,1.163276,1.163402,1.163433,1.163189,1.163127,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245939,0.309076,0.3672,0.349352,0.216819,-0.129707,-0.239321,-0.15264
67.647003,26.988771,22.450844,26.943001,649.544739,-817.508179,-968.882935,-923.576111,-573.002563,342.336182,633.370544,405.572357,1.162772,1.162972,1.162813,1.163271,1.163421,1.163443,1.163176,1.163108,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245779,0.309334,0.366612,0.349469,0.216816,-0.129535,-0.239659,-0.153463
70.907997,26.994265,22.469387,26.942688,649.383972,-817.1698,-969.116943,-924.786011,-573.536377,342.984192,635.815796,406.754028,1.16285,1.163024,1.162854,1.163306,1.16341,1.163472,1.163185,1.163138,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245718,0.309206,0.366701,0.349927,0.217018,-0.129781,-0.240584,-0.15391
74.175003,26.986797,22.476068,26.94125,649.454102,-818.242432,-968.889893,-924.660156,-573.208313,343.692719,637.734985,407.490204,1.162856,1.163005,1.16287,1.163294,1.16344,1.16346,1.16317,1.163143,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245745,0.309612,0.366615,0.349879,0.216894,-0.130049,-0.24131,-0.154189
77.443001,26.971487,22.477129,26.94075,649.888794,-817.92157,-968.607849,-924.770935,-572.828674,344.037567,639.400208,407.234253,1.162825,1.16303,1.162862,1.163315,1.163435,1.163506,1.163219,1.163129,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245909,0.309491,0.366508,0.349921,0.216751,-0.130179,-0.24194,-0.154092
80.718002,26.963699,22.436794,26.942312,649.190674,-818.721924,-968.895386,-925.257629,-572.995117,344.871765,639.999023,406.072205,1.162832,1.163009,1.162837,1.163305,1.163407,1.163479,1.163213,1.163168,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245645,0.309793,0.366617,0.350105,0.216814,-0.130495,-0.242167,-0.153652
83.984001,26.968393,22.421995,26.94025,648.348877,-818.680908,-969.58197,-925.344421,-572.798767,346.702881,641.142395,404.896851,1.16285,1.16304,1.162862,1.163292,1.163439,1.163447,1.163179,1.163125,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245326,0.309778,0.366877,0.350138,0.216739,-0.131188,-0.2426,-0.153208
87.247002,26.963432,22.433359,26.942375,648.201599,-818.368835,-969.256653,-926.189148,-572.649231,346.452362,641.660767,402.914032,1.162805,1.163004,1.162811,1.163277,1.163412,1.16346,1.163191,1.163114,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245271,0.30966,0.366754,0.350458,0.216683,-0.131093,-0.242796,-0.152457
90.513,26.959484,22.4554,26.942062,647.866882,-818.521057,-969.731445,-926.174194,-570.569275,349.410217,641.594482,401.61792,1.162819,1.163014,1.162865,1.163304,1.163433,1.163499,1.163193,1.163136,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245144,0.309717,0.366933,0.350452,0.215896,-0.132212,-0.242771,-0.151967
93.777,26.962898,22.482624,26.940874,647.390564,-819.02832,-970.384766,-926.589294,-568.978027,349.315308,640.407043,399.909851,1.162831,1.163023,1.162894,1.163316,1.163477,1.16349,1.163215,1.163177,1.0,1.0,9800.0,50.0,600.0,27.0,-0.244964,0.309909,0.367181,0.350609,0.215294,-0.132176,-0.242321,-0.151321
97.041,26.989304,22.476192,26.941,647.7146,-819.75708,-970.447144,-925.889465,-567.881897,350.160858,638.715881,397.852814,1.162863,1.163036,1.162888,1.163323,1.163466,1.163504,1.163226,1.163177,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245086,0.310185,0.367204,0.350344,0.214879,-0.132496,-0.241682,-0.150542
100.306,27.003067,22.475569,26.942499,647.808655,-820.03479,-970.075928,-924.574097,-565.614929,348.435547,637.960083,397.579559,1.1629,1.163027,1.162886,1.163316,1.16338,1.163433,1.163175,1.16313,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245122,0.31029,0.367064,0.349846,0.214021,-0.131843,-0.241396,-0.150439
103.568001,26.997358,22.477568,26.941626,647.428955,-820.431702,-969.567017,-923.470215,-564.770691,347.460266,636.665283,396.541992,1.162807,1.162998,1.162843,1.163288,1.163411,1.163472,1.16321,1.163117,1.0,1.0,9800.0,50.0,600.0,27.0,-0.244978,0.31044,0.366871,0.349429,0.213702,-0.131474,-0.240906,-0.150046
106.828003,26.985622,22.491991,26.942188,647.838135,-819.888977,-967.745056,-921.070251,-563.720154,346.841736,637.244446,397.636719,1.162878,1.163041,1.162885,1.163315,1.163453,1.163493,1.163202,1.163141,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245133,0.310235,0.366182,0.348521,0.213304,-0.13124,-0.241125,-0.15046
110.087997,26.977407,22.510847,26.940813,646.995789,-818.958984,-966.680298,-919.713684,-563.240601,346.356781,637.9198,396.735657,1.162813,1.163002,1.16284,1.163266,1.163411,1.163429,1.163176,1.163096,1.0,1.0,9800.0,50.0,600.0,27.0,-0.244815,0.309883,0.365779,0.348007,0.213123,-0.131057,-0.24138,-0.150119
113.350998,26.980501,22.505415,26.941563,647.623474,-818.938232,-964.268616,-918.81488,-563.650085,345.78595,638.140747,396.729004,1.162812,1.162981,1.162816,1.163273,1.16338,1.163449,1.163146,1.163109,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245052,0.309875,0.364866,0.347667,0.213278,-0.130841,-0.241464,-0.150117
116.612,26.985304,22.506538,26.942562,647.87146,-817.563782,-962.249939,-918.828796,-563.035522,345.972015,638.612183,394.157288,1.162811,1.16296,1.162822,1.163277,1.163414,1.163444,1.163183,1.163121,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245146,0.309355,0.364102,0.347672,0.213045,-0.130911,-0.241642,-0.149144
119.877998,27.001841,22.512033,26.942125,647.920349,-816.218872,-960.436523,-918.280762,-561.993591,346.38147,637.922119,391.857178,1.162828,1.163026,1.162882,1.163313,1.163447,1.163482,1.163224,1.163144,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245164,0.308846,0.363416,0.347465,0.212651,-0.131066,-0.241381,-0.148273
123.172997,26.99229,22.513906,26.942249,648.978027,-814.362061,-958.891968,-917.731018,-560.748535,345.583099,636.753418,389.547913,1.162814,1.163009,1.162858,1.163304,1.163419,1.163476,1.163189,1.163107,1.0,1.0,9800.0,50.0,600.0,27.0,-0.245565,0.308144,0.362832,0.347257,0.21218,-0.130764,-0.240939,-0.1474
126.434998,26.988184,22.527767,26.940624,650.435669,-812.191589,-957.246643,-916.648376,-558.274353,344.023254,633.59552,384.301117,1.162845,1.163007,1.162859,1.163289,1.163438,1.163451,1.16318,1.163132,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246116,0.307322,0.362209,0.346847,0.211244,-0.130174,-0.239744,-0.145414
129.695007,27.007601,22.517029,26.942938,654.136108,-809.409241,-954.254456,-915.802246,-561.021118,340.954926,629.926147,379.49408,1.1628,1.162986,1.162856,1.163299,1.163464,1.163487,1.163204,1.163145,1.0,1.0,9800.0,50.0,600.0,27.0,-0.247516,0.30627,0.361077,0.346527,0.212283,-0.129013,-0.238356,-0.143595
132.957993,27.008348,22.504292,26.942938,659.036499,-806.014465,-952.96582,-917.410767,-562.690796,336.608582,624.615417,370.585083,1.162794,1.162986,1.162813,1.163321,1.163437,1.163475,1.163193,1.163164,1.0,1.0,9800.0,50.0,600.0,27.0,-0.249371,0.304985,0.360589,0.347136,0.212915,-0.127368,-0.236346,-0.140224
136.218994,27.008562,22.453527,26.941063,662.78479,-804.756348,-953.38208,-920.892151,-567.15802,328.644897,613.841187,355.951355,1.162836,1.162987,1.162839,1.163276,1.163427,1.163444,1.163162,1.163114,1.0,1.0,9800.0,50.0,600.0,27.0,-0.250789,0.304509,0.360747,0.348453,0.214605,-0.124355,-0.232269,-0.134687
139.483002,27.015284,22.46995,26.944,665.703552,-806.049744,-957.245667,-925.721436,-574.329163,318.144073,604.954163,351.203369,1.16282,1.163016,1.162828,1.163306,1.163424,1.163462,1.163176,1.163114,1.0,1.0,9800.0,50.0,600.0,27.0,-0.251893,0.304998,0.362209,0.350281,0.217318,-0.120381,-0.228907,-0.132891
142.751999,27.022163,22.483561,26.941938,662.525146,-811.747498,-962.617554,-932.095764,-579.81189,312.034882,604.14209,352.078766,1.162844,1.163009,1.162842,1.163273,1.163405,1.163444,1.163136,1.163138,1.0,1.0,9800.0,50.0,600.0,27.0,-0.250691,0.307154,0.364242,0.352692,0.219393,-0.11807,-0.228599,-0.133222
146.013,27.027498,22.492239,26.942438,657.38092,-816.21637,-967.812012,-936.979858,-585.327148,306.229095,600.385925,347.522522,1.162774,1.162954,1.162779,1.163236,1.163347,1.163428,1.163167,1.163119,1.0,1.0,9800.0,50.0,600.0,27.0,-0.248744,0.308845,0.366207,0.354541,0.22148,-0.115873,-0.227178,-0.131498
149.278,27.000027,22.500233,26.941813,652.504761,-822.528137,-973.154663,-943.950745,-590.63678,297.574188,593.520569,335.905701,1.162816,1.162979,1.162838,1.163312,1.16341,1.163452,1.163203,1.16317,1.0,1.0,9800.0,50.0,600.0,27.0,-0.246899,0.311234,0.368229,0.357178,0.223489,-0.112598,-0.22458,-0.127102
152.544998,26.991919,22.49505,26.942188,646.734497,-828.82019,-979.709167,-950.690674,-598.30835,285.900574,584.309326,326.493927,1.162811,1.162983,1.162869,1.163282,1.163409,1.163435,1.163197,1.163128,1.0,1.0,9800.0,50.0,600.0,27.0,-0.244716,0.313614,0.370709,0.359729,0.226392,-0.108181,-0.221095,-0.123541
155.811005,26.98349,22.502417,26.941626,641.973083,-834.158081,-985.36731,-958.898743,-609.189575,273.322906,576.9599,328.359344,1.162851,1.163052,1.162906,1.163362,1.163509,1.163523,1.163274,1.163144,1.0,1.0,9800.0,50.0,600.0,27.0,-0.242914,0.315634,0.37285,0.362834,0.230509,-0.103422,-0.218314,-0.124247
159.065994,26.986103,22.493925,26.940874,636.48877,-840.834412,-994.710754,-972.617676,-618.422241,262.475372,577.770386,331.514587,1.162852,1.163006,1.162849,1.16329,1.163438,1.163481,1.163186,1.163163,1.0,1.0,9800.0,50.0,600.0,27.0,-0.240839,0.31816,0.376385,0.368025,0.234003,-0.099317,-0.218621,-0.125441
162.332993,26.977301,22.491741,26.941626,629.712036,-849.847351,-1007.635376,-984.24585,-624.753845,252.337357,583.861755,332.438385,1.162871,1.163052,1.162901,1.163337,1.16349,1.163519,1.163254,1.163172,1.0,1.0,9800.0,50.0,600.0,27.0,-0.238275,0.321571,0.381276,0.372425,0.236398,-0.095481,-0.220925,-0.12579
165.593002,26.96866,22.507912,26.943624,618.40979,-863.381714,-1019.792908,-996.557068,-629.953552,251.221237,590.618958,332.127991,1.16284,1.163015,1.162845,1.1633,1.163402,1.163465,1.163175,1.163142,1.0,1.0,9800.0,50.0,600.0,27.0,-0.233998,0.326692,0.385876,0.377084,0.238366,-0.095059,-0.223482,-0.125673
168.856003,26.980982,22.507101,26.942875,604.496643,-873.102783,-1026.133789,-1007.846741,-625.005737,251.81601,594.032959,327.167938,1.162825,1.162978,1.162877,1.163307,1.16346,1.163501,1.163239,1.163175,1.0,1.0,9800.0,50.0,600.0,27.0,-0.228733,0.33037,0.388275,0.381356,0.236494,-0.095284,-0.224774,-0.123796
