T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
8.299999,26.954523,23.206917,26.966499,-3097.919678,5401.303711,1569.496826,2891.239258,-19.412653,879.389038,-2079.695801,106.343102,1.17451,1.174599,1.174659,1.17501,1.175219,1.175112,1.174978,1.174971,1.0,3.0,9900.0,50.0,480.0,27.0,1.172211,-2.043781,-0.593876,-1.094006,0.007345,-0.332749,0.786929,-0.040239
11.549999,26.976288,23.200298,26.966249,-3097.396484,5399.364258,1569.502563,2893.379395,-20.737392,879.978088,-2078.869141,106.22551,1.174484,1.174541,1.174619,1.174981,1.175202,1.175106,1.174967,1.174956,1.0,3.0,9900.0,50.0,480.0,27.0,1.172013,-2.043047,-0.593879,-1.094816,0.007847,-0.332972,0.786616,-0.040194
14.860001,26.970154,23.183065,26.967312,-3099.299561,5401.461426,1568.236572,2891.45752,-18.518324,878.657166,-2080.005127,105.527573,1.174487,1.17453,1.174623,1.174976,1.175171,1.17505,1.174941,1.174963,1.0,3.0,9900.0,50.0,480.0,27.0,1.172733,-2.04384,-0.5934,-1.094089,0.007007,-0.332472,0.787046,-0.03993
18.110001,26.96818,23.18244,26.96475,-3099.411377,5401.192383,1569.112427,2891.070068,-20.068817,879.812073,-2080.662354,106.407944,1.174488,1.174543,1.174564,1.174996,1.175169,1.175092,1.174946,1.174951,1.0,3.0,9900.0,50.0,480.0,27.0,1.172776,-2.043739,-0.593731,-1.093942,0.007594,-0.332909,0.787295,-0.040263
21.360001,26.973782,23.174261,26.965687,-3098.870117,5401.648926,1569.541382,2890.102295,-19.697641,879.324158,-2078.406494,107.210907,1.174428,1.1745,1.174564,1.174967,1.17516,1.175081,1.174916,1.174922,1.0,3.0,9900.0,50.0,480.0,27.0,1.172571,-2.043911,-0.593893,-1.093576,0.007453,-0.332724,0.786441,-0.040567
24.610001,26.973675,23.13686,26.963812,-3098.922852,5402.113281,1571.042114,2890.780273,-19.380638,880.209717,-2076.868164,106.854843,1.174488,1.174552,1.174587,1.174973,1.175195,1.175091,1.174928,1.174929,1.0,3.0,9900.0,50.0,480.0,27.0,1.172591,-2.044087,-0.594461,-1.093832,0.007333,-0.33306,0.785859,-0.040432
27.860001,26.980661,23.16608,26.964437,-3098.879883,5402.589844,1570.301025,2891.887207,-18.820717,879.229736,-2077.715332,106.752724,1.174466,1.174556,1.174598,1.17498,1.175153,1.175083,1.174929,1.174918,1.0,3.0,9900.0,50.0,480.0,27.0,1.172575,-2.044267,-0.594181,-1.094251,0.007122,-0.332689,0.78618,-0.040394
31.110001,26.978262,23.191868,26.96575,-3099.794189,5402.793945,1571.633301,2892.454346,-18.542568,880.152954,-2077.938232,106.997551,1.174391,1.174474,1.174512,1.174963,1.175162,1.175042,1.174895,1.174884,1.0,3.0,9900.0,50.0,480.0,27.0,1.17292,-2.044344,-0.594685,-1.094466,0.007016,-0.333038,0.786264,-0.040486
34.360001,26.967113,23.201672,26.965313,-3098.401367,5403.785645,1569.790894,2890.189453,-17.619865,881.220398,-2076.633057,106.274811,1.174426,1.174516,1.174558,1.174938,1.175137,1.17506,1.174865,1.174875,1.0,3.0,9900.0,50.0,480.0,27.0,1.172393,-2.04472,-0.593988,-1.093609,0.006667,-0.333442,0.78577,-0.040213
37.610001,26.957243,23.184252,26.9655,-3097.959229,5403.39502,1578.288574,2893.702637,-18.909439,883.079346,-2078.778076,109.129219,1.174427,1.174486,1.174545,1.174955,1.175186,1.175079,1.174915,1.17494,1.0,3.0,9900.0,50.0,480.0,27.0,1.172226,-2.044572,-0.597203,-1.094938,0.007155,-0.334145,0.786582,-0.041293
40.860001,26.968287,23.154156,26.964937,-3097.320312,5405.279785,1574.130493,2895.077393,-22.597998,884.409607,-2076.737061,110.260239,1.174438,1.174542,1.174588,1.174933,1.175156,1.175045,1.174931,1.174936,1.0,3.0,9900.0,50.0,480.0,27.0,1.171984,-2.045285,-0.59563,-1.095458,0.008551,-0.334649,0.785809,-0.041721
