T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5McBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
8.308001,26.986385,22.510597,26.967188,-989.704773,-2120.876953,-1161.979614,-1269.120117,-2070.36084,-1049.395386,-1012.063171,1813.415771,1.165061,1.165102,1.164955,1.165375,1.165508,1.165293,1.164818,0.381014,1.0,1.0,9800.0,50.0,600.0,27.0,0.374491,0.802511,0.439677,0.480218,0.783397,0.397077,0.382951,-0.686172
11.559999,26.976624,22.510847,26.964251,-987.256226,-2120.183594,-1163.190063,-1270.381958,-2070.523437,-1048.237183,-1010.428711,1812.977661,1.165047,1.165119,1.164968,1.16538,1.165475,1.165251,1.164795,0.381112,1.0,1.0,9800.0,50.0,600.0,27.0,0.373564,0.802249,0.440135,0.480695,0.783458,0.396639,0.382333,-0.686006
14.837,26.994335,22.481438,26.967501,-988.042175,-2120.668457,-1163.367676,-1269.892822,-2070.709229,-1045.569946,-1010.637512,1816.439087,1.165025,1.165064,1.164929,1.165339,1.165449,1.165199,1.164792,0.380822,1.0,1.0,9800.0,50.0,600.0,27.0,0.373862,0.802432,0.440203,0.48051,0.783529,0.39563,0.382412,-0.687316
18.096001,27.013218,22.446472,26.967062,-988.542175,-2121.197266,-1163.091187,-1268.945068,-2069.362793,-1028.280396,-1007.373535,1823.430542,1.16503,1.165092,1.164945,1.16534,1.16547,1.165248,1.164804,0.381543,1.0,1.0,9800.0,50.0,600.0,27.0,0.374051,0.802633,0.440098,0.480152,0.783019,0.389087,0.381177,-0.689962
21.371,27.022234,22.446159,26.966625,-988.773682,-2121.467285,-1163.193481,-1267.743164,-2068.532227,-1017.672363,-1006.888916,1825.884033,1.164989,1.165043,1.164895,1.165288,1.16541,1.165164,1.164729,0.381319,1.0,1.0,9800.0,50.0,600.0,27.0,0.374139,0.802735,0.440137,0.479697,0.782705,0.385074,0.380993,-0.69089
24.625,27.03685,22.480938,26.969187,-989.045898,-2121.062012,-1163.185669,-1267.890625,-2067.840088,-1005.541321,-1002.179871,1826.850464,1.165001,1.165029,1.164892,1.165301,1.165442,1.165185,1.164742,0.381326,1.0,1.0,9800.0,50.0,600.0,27.0,0.374242,0.802581,0.440134,0.479753,0.782443,0.380483,0.379211,-0.691256
27.879,27.044691,22.52858,26.968687,-988.469727,-2120.879395,-1163.042847,-1267.24231,-2067.234619,-1015.316833,-1010.812195,1817.752686,1.164982,1.16506,1.164956,1.16533,1.16543,1.165196,1.164753,0.381048,1.0,1.0,9800.0,50.0,600.0,27.0,0.374024,0.802512,0.44008,0.479507,0.782214,0.384182,0.382478,-0.687813
31.132999,27.053761,22.538008,26.96875,-988.884766,-2120.170898,-1162.56897,-1269.627441,-2068.804932,-1038.932495,-982.283386,1832.592529,1.164992,1.165069,1.164915,1.165321,1.165421,1.165191,1.164719,0.386773,1.0,1.0,9800.0,50.0,600.0,27.0,0.374181,0.802244,0.4399,0.48041,0.782808,0.393118,0.371683,-0.693428
34.387001,27.052588,22.556303,26.965813,-986.815857,-2118.690674,-1157.168823,-1249.628662,-2046.694824,-1058.103882,-1052.786621,1832.364258,1.164998,1.165078,1.164901,1.165337,1.165442,1.165224,1.16479,0.387366,1.0,1.0,9800.0,50.0,600.0,27.0,0.373398,0.801684,0.437857,0.472843,0.774442,0.400372,0.39836,-0.693342
37.675999,27.033916,22.556177,26.967251,-984.072205,-2104.702637,-1138.418457,-1256.76416,-2078.1604,-1083.439331,-1064.304321,1830.682983,1.165012,1.165045,1.164902,1.165315,1.165444,1.165166,1.164743,0.386613,1.0,1.0,9800.0,50.0,600.0,27.0,0.37236,0.796391,0.430762,0.475543,0.786348,0.409959,0.402718,-0.692706
