time /min,deflection /nm,,,,,,,,injection,deflection /nm,deflection /nm,,,,,,,differential deflection /nm,,,,differential deflection /nm,,,,differential deflection /nm,,,,differential deflection /nm,,,,differential deflection /nm,,,,,,differential deflection /nm,,,,,,differential deflection /nm,,differential deflection /nm,
,CL1 cBAK2,CL2 polyAC,CL3 cBAK2,CL4 polyAC,CL5 cBAK2,CL6 polyAC,CL7 cBAK2,CL8 polyAC,,CL1 cBAK2,CL2 polyAC,CL3 cBAK2,CL4 polyAC,CL5 cBAK2,CL6 polyAC,CL7 cBAK2,CL8 polyAC,CL1 cBAK2-CL2 polyAC,CL1 cBAK2-CL4 polyAC,CL1 cBAK2-CL6 polyAC,CL1 cBAK2-CL8 polyAC,CL3 cBAK2-CL2 polyAC,CL3 cBAK2-CL4 polyAC,CL3 cBAK2-CL6 polyAC,CL3 cBAK2-CL8 polyAC,CL5 cBAK2-CL2 polyAC,CL5 cBAK2-CL4 polyAC,CL5 cBAK2-CL6 polyAC,CL5 cBAK2-CL8 polyAC,CL7 cBAK2-CL2 polyAC,CL7 cBAK2-CL4 polyAC,CL7 cBAK2-CL6 polyAC,CL7 cBAK2-CL8 polyAC,CL1 cBAK2-CL3 cBAK2,CL1 cBAK2-CL5 cBAK2,CL1 cBAK2-CL7 cBAK2,CL3 cBAK2-CL5 cBAK2,CL3 cBAK2-CL7 cBAK2,CL5 cBAK2-CL7 cBAK2,CL2 polyAC-CL4 polyAC,CL2 polyAC-CL6 polyAC,CL2 polyAC-CL8 polyAC,CL4 polyAC-CL6 polyAC,CL4 polyAC-CL8 polyAC,CL6 polyAC-CL8 polyAC,mean ( cBAK2 -  polyAC CLs),,Zero,
0.13966665,4386.914551,4601.634766,4184.875488,345.173035,-762.483154,-647.033264,-413.037933,-2225.150146,3,-4386.914551,-4601.634766,-4184.875488,-345.173035,762.483154,647.033264,413.037933,2225.150146,214.720215,-4041.741516,-5033.947815,-6612.064697,416.759278000001,-3839.702453,-4831.908752,-6410.025634,5364.11792,1107.656189,115.44989,-1462.666992,5014.672699,758.210968,-233.995331,-1812.112213,-202.039063,-5149.397705,-4799.952484,-4947.358642,-4597.913421,349.445221,-4256.461731,-5248.66803,-6826.784912,-992.206299,-2570.323181,-1578.116882,-1330.41114025,3630.32046296279,-3401.64809408333,2312.68995063259
0.197,4393.239258,4601.821777,4183.955078,343.401398,-763.94751,-647.290405,-412.299713,-2224.224121,3,-4393.239258,-4601.821777,-4183.955078,-343.401398,763.94751,647.290405,412.299713,2224.224121,208.582519000001,-4049.83786,-5040.529663,-6617.463379,417.866699,-3840.55368,-4831.245483,-6408.179199,5365.769287,1107.348908,116.657105,-1460.276611,5014.12149,755.701111,-234.990692,-1811.924408,-209.28418,-5157.186768,-4805.538971,-4947.902588,-4596.254791,351.647797,-4258.420379,-5249.112182,-6826.045898,-990.691803,-2567.625519,-1576.933716,-1331.809616,3631.41524983681,-3402.77908316667,2313.21863301039
0.263,4395.126465,4602.858887,4183.729492,343.831451,-764.167542,-647.771118,-412.933594,-2225.789551,3,-4395.126465,-4602.858887,-4183.729492,-343.831451,764.167542,647.771118,412.933594,2225.789551,207.732422,-4051.295014,-5042.897583,-6620.916016,419.129395,-3839.898041,-4831.50061,-6409.519043,5367.026429,1107.998993,116.396424,-1461.622009,5015.792481,756.765045,-234.837524,-1812.855957,-211.396973,-5159.294007,-4808.060059,-4947.897034,-4596.663086,351.233948,-4259.027436,-5250.630005,-6828.648438,-991.602569,-2569.621002,-1578.018433,-1332.156288,3632.53856411519,-3404.1354245,2313.44666985179
0.321333316666667,4392.913574,4601.254395,4182.666016,343.852783,-764.231812,-645.782043,-411.866364,-2225.22998,3,-4392.913574,-4601.254395,-4182.666016,-343.852783,764.231812,645.782043,411.866364,2225.22998,208.340821,-4049.060791,-5038.695617,-6618.143554,418.588379,-3838.813233,-4828.448059,-6407.895996,5365.486207,1108.084595,118.449769,-1460.998168,5013.120759,755.719147,-233.915679,-1813.363616,-210.247558,-5157.145386,-4804.779938,-4946.897828,-4594.53238,352.365448,-4257.401612,-5247.036438,-6826.484375,-989.634826,-2569.082763,-1579.447937,-1331.34656475,3631.01379827017,-3402.52713275,2312.7635452621
0.37966665,4393.102539,4601.171387,4183.799316,343.49826,-764.728455,-642.232422,-409.667633,-2214.053467,3,-4393.102539,-4601.171387,-4183.799316,-343.49826,764.728455,642.232422,409.667633,2214.053467,208.068848,-4049.604279,-5035.334961,-6607.156006,417.372071000001,-3840.301056,-4826.031738,-6397.852783,5365.899842,1108.226715,122.496033,-1449.325012,5010.83902,753.165893,-232.564789,-1804.385834,-209.303223000001,-5157.830994,-4802.770172,-4948.527771,-4593.466949,355.060822,-4257.673127,-5243.403809,-6815.224854,-985.730682,-2557.551727,-1571.821045,-1328.53050225,3628.39978143282,-3399.02029425,2312.79459214183
0.445333316666667,4394.185547,4601.463867,4183.500977,342.033691,-764.753479,-642.623047,-397.146606,-2199.440186,3,-4394.185547,-4601.463867,-4183.500977,-342.033691,764.753479,642.623047,397.146606,2199.440186,207.27832,-4052.151856,-5036.808594,-6593.625733,417.962890000001,-3841.467286,-4826.124024,-6382.941163,5366.217346,1106.78717,122.130432,-1434.686707,4998.610473,739.180297,-245.476441,-1802.29358,-210.68457,-5158.939026,-4791.332153,-4948.254456,-4580.647583,367.606873,-4259.430176,-5244.086914,-6800.904053,-984.656738,-2541.473877,-1556.817139,-1328.5880285,3623.68504705548,-3392.46831766667,2313.20919085736
0.50466665,4392.342285,4600.710449,4183.426758,342.305756,-759.812622,-623.30658,-377.205292,-2183.599365,3,-4392.342285,-4600.710449,-4183.426758,-342.305756,759.812622,623.30658,377.205292,2183.599365,208.368164,-4050.036529,-5015.648865,-6575.94165,417.283691000001,-3841.121002,-4806.733338,-6367.026123,5360.523071,1102.118378,136.506042,-1423.786743,4977.915741,719.511048,-246.101288,-1806.394073,-208.915527,-5152.154907,-4769.547577,-4943.23938,-4560.63205,382.60733,-4258.404693,-5224.017029,-6784.309814,-965.612336,-2525.905121,-1560.292785,-1325.66021725,3614.01568106253,-3380.86865741667,2311.10688946895
0.562999983333333,4392.015625,4600.649902,4183.916016,353.221008,-737.967712,-606.340271,-370.140381,-2191.234375,3,-4392.015625,-4600.649902,-4183.916016,-353.221008,737.967712,606.340271,370.140381,2191.234375,208.634277,-4038.794617,-4998.355896,-6583.25,416.733886,-3830.695008,-4790.256287,-6375.150391,5338.617614,1091.18872,131.627441,-1453.266663,4970.790283,723.361389,-236.19989,-1821.093994,-208.099609,-5129.983337,-4762.156006,-4921.883728,-4554.056397,367.827331,-4247.428894,-5206.990173,-6791.884277,-959.561279,-2544.455383,-1584.894104,-1327.881821,3608.58071475639,-3378.630488,2303.0827942793
0.622,4392.044922,4601.992187,4186.748047,379.897125,-732.769653,-612.087952,-381.622803,-2217.742187,3,-4392.044922,-4601.992187,-4186.748047,-379.897125,732.769653,612.087952,381.622803,2217.742187,209.947265,-4012.147797,-5004.132874,-6609.787109,415.24414,-3806.850922,-4798.835999,-6404.490234,5334.76184,1112.666778,120.681701,-1484.972534,4983.61499,761.519928,-230.465149,-1836.119384,-205.296875,-5124.814575,-4773.667725,-4919.5177,-4568.37085,351.14685,-4222.095062,-5214.080139,-6819.734374,-991.985077,-2597.639312,-1605.654235,-1328.085335,3615.89205931022,-3390.97575616667,2298.9233017737
