T  (s)	T1	T2	T3	5然cBAK2	5然polyAC	10然cBAK2	10皖olyAC	20然cBAK2	20然polyAC	40然cBAK2	40然polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
8.318001	26.961740	22.866312	26.965063	-943.351074	-326.093201	314.623749	501.084961	654.342651	420.003448	1077.200928	85.139046	1.123508	1.123624	1.123401	1.124063	1.124277	1.124274	1.123773	1.123710	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.356951	0.123389	-0.119049	-0.189604	-0.247594	-0.158924	-0.407598	-0.032215
11.569000	26.970970	22.842772	26.963875	-957.100891	-325.945251	320.281830	500.559540	652.933716	419.732117	1077.923828	83.317978	1.123478	1.123590	1.123393	1.124034	1.124227	1.124246	1.123783	1.123703	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.362154	0.123333	-0.121190	-0.189405	-0.247061	-0.158821	-0.407872	-0.031526
14.854000	26.985800	22.824978	26.965876	-945.127136	-326.365021	319.290283	498.658264	654.125854	415.321381	1073.450439	82.745674	1.123496	1.123608	1.123353	1.124012	1.124225	1.124209	1.123744	1.123678	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.357623	0.123492	-0.120815	-0.188686	-0.247512	-0.157152	-0.406179	-0.031310
18.108000	26.972464	22.829473	26.966188	-945.039673	-327.329956	342.987152	498.857544	650.711670	415.150208	1072.246826	81.111778	1.123478	1.123572	1.123369	1.124013	1.124183	1.124218	1.123698	1.123642	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.357590	0.123857	-0.129782	-0.188761	-0.246221	-0.157087	-0.405724	-0.030692
21.375999	26.968889	22.843647	26.964624	-942.835693	-346.788788	316.623474	499.572357	652.984558	416.368195	1073.604248	85.869423	1.123461	1.123578	1.123382	1.124045	1.124274	1.124250	1.123736	1.123667	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.356756	0.131220	-0.119806	-0.189031	-0.247081	-0.157548	-0.406237	-0.032492
24.636000	26.952406	22.790886	26.966188	-944.537415	-328.040741	314.172791	500.832397	653.707214	420.612823	1077.818970	96.419952	1.123448	1.123592	1.123348	1.124035	1.124213	1.124204	1.123750	1.123639	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.357400	0.124126	-0.118879	-0.189508	-0.247354	-0.159154	-0.407832	-0.036484
27.920000	26.973370	22.780771	26.967312	-938.525818	-325.615082	313.102570	503.300018	651.624207	420.114380	1089.041138	101.368622	1.123456	1.123568	1.123359	1.124008	1.124221	1.124209	1.123732	1.123620	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.355126	0.123208	-0.118474	-0.190442	-0.246566	-0.158966	-0.412079	-0.038357
31.184000	26.987507	22.763163	26.965437	-944.578613	-326.794220	314.302765	502.956360	654.203857	431.319214	1101.956543	107.111458	1.123453	1.123544	1.123388	1.124030	1.124235	1.124229	1.123749	1.123659	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.357416	0.123655	-0.118928	-0.190312	-0.247542	-0.163205	-0.416966	-0.040530
34.438000	26.978758	22.779146	26.966499	-946.989319	-325.936157	315.767151	500.220276	667.157532	451.399994	1109.473999	103.446983	1.123470	1.123604	1.123397	1.124042	1.124248	1.124243	1.123742	1.123655	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.358328	0.123330	-0.119482	-0.189277	-0.252443	-0.170804	-0.419810	-0.039143
37.698002	26.969955	22.781332	26.965437	-946.926270	-327.613129	317.438812	515.054138	691.687134	453.995667	1096.541504	98.003326	1.123454	1.123618	1.123388	1.124015	1.124243	1.124244	1.123776	1.123673	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.358304	0.123964	-0.120115	-0.194890	-0.261725	-0.171786	-0.414917	-0.037083
