T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
8.314000	26.991186	21.815277	27.008125	-5559.435547	410.511566	4673.148437	1949.482056	-1166.335571	-970.093689	-5081.713867	-2558.101074	1.000969	1.001972	1.001477	1.002293	1.002510	1.002713	1.002038	1.002397	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.103616	-0.155332	-1.768257	-0.737658	0.441326	0.367070	1.922852	0.967951
11.564000	26.982119	21.831760	27.004499	-5559.837402	410.649933	4674.446777	1948.307495	-1166.352417	-968.785095	-5082.377930	-2557.651123	1.001032	1.002037	1.001549	1.002386	1.002582	1.002740	1.002059	1.002403	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.103768	-0.155384	-1.768748	-0.737213	0.441332	0.366575	1.923103	0.967781
14.846001	26.982971	21.850679	27.004375	-5561.773926	410.252075	4675.436035	1951.245850	-1167.133667	-968.934631	-5081.004395	-2558.739746	1.001005	1.001971	1.001425	1.002340	1.002477	1.002702	1.002026	1.002374	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104501	-0.155234	-1.769122	-0.738325	0.441628	0.366632	1.922584	0.968193
18.118000	26.985586	21.843437	27.005501	-5560.116211	410.091217	4674.959961	1947.831543	-1167.205078	-968.639709	-5082.699219	-2559.902344	1.000973	1.001951	1.001455	1.002289	1.002503	1.002679	1.001994	1.002371	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.103873	-0.155173	-1.768942	-0.737033	0.441655	0.366520	1.923225	0.968633
21.387001	26.975237	21.856112	27.005062	-5559.941895	409.844055	4673.411133	1955.132935	-1167.939941	-968.499146	-5082.298340	-2559.728760	1.000862	1.001857	1.001401	1.002330	1.002493	1.002661	1.001989	1.002341	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.103807	-0.155079	-1.768356	-0.739796	0.441933	0.366467	1.923073	0.968567
24.650000	26.967609	21.833010	27.006624	-5560.432617	409.027130	4675.817383	1949.573975	-1167.825562	-968.188660	-5082.842773	-2560.669434	1.000930	1.001904	1.001412	1.002256	1.002437	1.002665	1.001985	1.002338	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.103993	-0.154770	-1.769266	-0.737693	0.441889	0.366350	1.923280	0.968923
27.924000	26.944405	21.820084	27.005375	-5561.012207	409.223480	4675.191406	1948.253418	-1167.084229	-968.381287	-5082.886230	-2560.551270	1.000928	1.001923	1.001405	1.002263	1.002475	1.002678	1.001977	1.002323	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104212	-0.154845	-1.769030	-0.737193	0.441609	0.366422	1.923296	0.968878
31.176001	26.945257	21.846060	27.005438	-5560.153320	409.766846	4676.565918	1949.787231	-1167.345093	-967.937622	-5083.348633	-2562.949219	1.000945	1.001914	1.001432	1.002282	1.002470	1.002691	1.001991	1.002322	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.103887	-0.155050	-1.769550	-0.737773	0.441708	0.366255	1.923471	0.969786
34.428001	26.947178	21.847683	27.004313	-5561.312500	409.481628	4673.495117	1948.201660	-1169.172363	-968.097046	-5083.970703	-2558.620361	1.000945	1.001943	1.001443	1.002259	1.002473	1.002673	1.002016	1.002351	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104326	-0.154942	-1.768388	-0.737173	0.442399	0.366315	1.923706	0.968148
37.681999	26.954166	21.822519	27.004375	-5561.021973	409.035706	4674.969727	1949.800049	-1168.270630	-968.581848	-5083.779297	-2559.653809	1.000929	1.001918	1.001441	1.002293	1.002449	1.002648	1.001986	1.002323	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104216	-0.154774	-1.768946	-0.737778	0.442058	0.366498	1.923634	0.968539
40.937000	26.947765	21.823393	27.004375	-5561.474609	408.241974	4674.178223	1950.427979	-1168.488525	-968.432312	-5083.191895	-2559.833984	1.000937	1.001892	1.001424	1.002248	1.002449	1.002626	1.001976	1.002336	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104387	-0.154473	-1.768646	-0.738016	0.442140	0.366442	1.923411	0.968607
44.192001	26.965368	21.811905	27.003813	-5561.003906	408.382172	4674.284668	1948.569092	-1169.223267	-968.234985	-5082.635742	-2557.998779	1.000926	1.001910	1.001432	1.002278	1.002458	1.002670	1.001985	1.002331	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104209	-0.154526	-1.768687	-0.737312	0.442418	0.366367	1.923201	0.967912
47.445999	26.947178	21.836943	27.003374	-5561.221191	408.614319	4674.654785	1950.260132	-1168.828613	-967.978638	-5083.645020	-2559.472656	1.000913	1.001937	1.001418	1.002278	1.002503	1.002660	1.001997	1.002330	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104291	-0.154614	-1.768826	-0.737952	0.442269	0.366270	1.923583	0.968470
50.703999	26.948671	21.806723	27.007313	-5561.513672	407.819000	4675.929687	1949.834351	-1169.598267	-967.934143	-5082.742676	-2561.122803	1.000911	1.001909	1.001411	1.002252	1.002441	1.002658	1.001966	1.002296	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104402	-0.154313	-1.769309	-0.737791	0.442560	0.366253	1.923241	0.969094
53.960999	26.945471	21.820396	27.003374	-5562.686523	407.447418	4673.921875	1949.154053	-1170.068481	-968.247864	-5078.953613	-2560.566895	1.000931	1.001891	1.001402	1.002305	1.002488	1.002707	1.002001	1.002367	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104846	-0.154173	-1.768549	-0.737534	0.442738	0.366372	1.921808	0.968884
57.216000	26.940083	21.824142	27.005312	-5562.120117	408.342194	4676.950684	1950.473755	-1168.178223	-967.950562	-5078.091797	-2560.017822	1.000937	1.002012	1.001591	1.002466	1.002664	1.002888	1.002199	1.002534	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104631	-0.154511	-1.769695	-0.738033	0.442023	0.366259	1.921482	0.968676
60.469002	26.929466	21.833384	27.005688	-5561.951172	407.881653	4675.619629	1947.579224	-1169.109375	-968.751831	-5082.640137	-2562.509521	1.001113	1.002131	1.001642	1.002456	1.002639	1.002819	1.002150	1.002499	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104568	-0.154337	-1.769192	-0.736938	0.442375	0.366563	1.923203	0.969619
63.718002	26.934162	21.822206	27.005501	-5562.115234	407.812775	4674.776367	1950.465210	-1169.527832	-968.735840	-5085.363770	-2560.110107	1.001109	1.002124	1.001644	1.002478	1.002645	1.002858	1.002159	1.002501	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104630	-0.154311	-1.768873	-0.738030	0.442534	0.366557	1.924233	0.968711
66.970001	26.932827	21.825268	27.004126	-5562.345703	407.560394	4675.354492	1950.412720	-1169.147705	-967.988403	-5086.646973	-2561.777588	1.001093	1.002102	1.001614	1.002459	1.002684	1.002865	1.002180	1.002529	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104717	-0.154215	-1.769091	-0.738010	0.442390	0.366274	1.924719	0.969342
70.233002	26.930428	21.802851	27.005125	-5562.457520	407.439484	4673.765137	1950.132568	-1168.955933	-968.468445	-5082.657715	-2562.535645	1.001134	1.002096	1.001647	1.002483	1.002680	1.002861	1.002190	1.002534	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104759	-0.154170	-1.768490	-0.737904	0.442317	0.366455	1.923209	0.969629
73.487999	26.924559	21.764639	27.003813	-5562.495605	407.635071	4675.362305	1950.681763	-1169.249023	-968.462891	-5083.748535	-2561.504150	1.001110	1.002102	1.001606	1.002457	1.002692	1.002855	1.002200	1.002542	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104774	-0.154244	-1.769094	-0.738112	0.442428	0.366453	1.923622	0.969239
76.741997	26.939283	21.771570	27.004562	-5563.171875	407.095428	4675.798828	1952.581421	-1169.684692	-967.811157	-5085.368652	-2560.578125	1.001136	1.002135	1.001622	1.002493	1.002658	1.002840	1.002177	1.002518	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105030	-0.154039	-1.769259	-0.738831	0.442593	0.366207	1.924235	0.968888
79.996002	26.954220	21.785931	27.006187	-5563.944824	406.427399	4674.341797	1952.618408	-1169.856934	-968.357544	-5087.442383	-2562.032715	1.001090	1.002088	1.001621	1.002451	1.002647	1.002869	1.002190	1.002551	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105322	-0.153787	-1.768708	-0.738845	0.442658	0.366413	1.925020	0.969439
83.250000	26.965902	21.815777	27.004313	-5562.252441	406.747803	4674.757324	1952.471802	-1170.755493	-968.626526	-5087.054199	-2560.409424	1.001153	1.002150	1.001630	1.002460	1.002678	1.002881	1.002200	1.002552	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104681	-0.153908	-1.768865	-0.738789	0.442998	0.366515	1.924873	0.968825
86.500999	26.964355	21.783995	27.004999	-5562.892090	405.904816	4674.606934	1952.435059	-1170.040405	-968.459412	-5086.375488	-2561.564697	1.001164	1.002146	1.001669	1.002482	1.002682	1.002830	1.002193	1.002544	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.104923	-0.153589	-1.768808	-0.738775	0.442728	0.366452	1.924616	0.969262
89.752998	26.960087	21.807159	27.004812	-5563.237305	406.210999	4672.454102	1950.595093	-1171.404541	-968.334167	-5086.062988	-2561.792236	1.001157	1.002161	1.001659	1.002490	1.002678	1.002874	1.002216	1.002561	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105054	-0.153705	-1.767994	-0.738079	0.443244	0.366405	1.924498	0.969348
93.012001	26.956886	21.832884	27.008125	-5564.157715	405.760712	4675.010254	1950.912598	-1171.191040	-968.531433	-5088.066895	-2559.752441	1.001130	1.002124	1.001610	1.002461	1.002708	1.002908	1.002203	1.002555	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105402	-0.153534	-1.768961	-0.738199	0.443163	0.366479	1.925256	0.968576
