T  (s)	T1	T2	T3	5然cBAK2	5然polyAC	5然cBAK2	5然polyAC	40然cBAK2	40然polyAC	40然cBAK2	40然polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
8.322001	26.972836	22.583338	26.975000	-2143.256836	1176.459473	-264.649200	498.991333	-267.434113	224.040253	114.134354	895.058044	1.148105	1.148251	1.148094	1.148669	1.148796	1.148838	1.148530	1.148458	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.810980	-0.445156	0.100140	-0.188812	0.101193	-0.084774	-0.043187	-0.338678
11.577000	26.992361	22.616243	26.973938	-2143.778564	1176.145142	-264.735352	498.538055	-267.416504	223.701675	113.620689	895.213623	1.148148	1.148253	1.148111	1.148644	1.148823	1.148893	1.148547	1.148500	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811177	-0.445038	0.100172	-0.188640	0.101187	-0.084646	-0.042993	-0.338737
14.860001	26.986973	22.613310	26.973249	-2144.262695	1176.560181	-264.507263	499.032318	-267.350494	223.725266	113.797279	895.419983	1.148172	1.148266	1.148128	1.148655	1.148838	1.148891	1.148544	1.148477	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811360	-0.445195	0.100086	-0.188827	0.101162	-0.084655	-0.043059	-0.338815
18.121000	26.990280	22.629543	26.972687	-2144.056396	1176.043091	-264.596619	498.740997	-267.778534	222.931259	113.360092	894.726868	1.148121	1.148253	1.148048	1.148620	1.148779	1.148822	1.148512	1.148467	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811282	-0.444999	0.100120	-0.188717	0.101324	-0.084354	-0.042894	-0.338553
21.379000	26.987347	22.636475	26.973125	-2144.119385	1175.584595	-264.497955	499.332764	-267.343628	223.355392	113.472519	895.024902	1.148152	1.148260	1.148098	1.148644	1.148832	1.148897	1.148582	1.148492	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811306	-0.444825	0.100082	-0.188941	0.101159	-0.084515	-0.042936	-0.338665
24.633999	27.001802	22.606878	26.972376	-2143.942871	1175.900879	-264.641937	499.620972	-267.825745	223.099319	113.049843	894.392151	1.148164	1.148280	1.148108	1.148648	1.148781	1.148878	1.148504	1.148480	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811239	-0.444945	0.100137	-0.189050	0.101342	-0.084418	-0.042777	-0.338426
27.889000	27.005751	22.597950	26.974688	-2144.812744	1175.316650	-264.937988	498.889343	-267.957153	222.703079	112.573235	894.081543	1.148078	1.148226	1.148051	1.148577	1.148769	1.148790	1.148459	1.148423	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811568	-0.444724	0.100249	-0.188773	0.101391	-0.084268	-0.042596	-0.338308
31.150000	27.000256	22.556053	26.973499	-2144.509521	1174.994507	-265.015442	498.649841	-268.217590	222.551453	112.648827	893.628296	1.148076	1.148211	1.148042	1.148563	1.148727	1.148779	1.148497	1.148415	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811454	-0.444602	0.100278	-0.188682	0.101490	-0.084210	-0.042625	-0.338137
34.399002	26.984999	22.533138	26.973688	-2144.884277	1174.853638	-265.243927	498.685150	-268.302734	222.392548	112.692169	893.045471	1.148071	1.148225	1.148019	1.148580	1.148762	1.148820	1.148484	1.148416	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811595	-0.444549	0.100365	-0.188696	0.101522	-0.084150	-0.042641	-0.337916
37.655998	26.982864	22.535948	26.971874	-2144.103271	1175.380371	-264.734528	499.358795	-267.976501	222.812057	112.953293	893.529175	1.148134	1.148267	1.148093	1.148649	1.148815	1.148868	1.148529	1.148507	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811300	-0.444748	0.100172	-0.188951	0.101399	-0.084309	-0.042740	-0.338099
