T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
8.302000	26.997215	22.616493	27.063688	-244.631470	318.948944	-545.766479	320.053558	393.289032	63.216156	273.249359	-31.073566	1.034565	1.034792	1.034584	1.035583	1.035566	1.035729	1.035283	1.035241	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092565	-0.120686	0.206511	-0.121104	-0.148815	-0.023920	-0.103394	0.011758
11.557000	27.003937	22.643530	27.063688	-244.984467	318.700226	-545.754211	320.122406	395.336578	63.168201	273.019318	-34.119366	1.034595	1.034646	1.034421	1.035461	1.035570	1.035787	1.035358	1.035041	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092699	-0.120592	0.206506	-0.121130	-0.149590	-0.023902	-0.103307	0.012910
14.837000	27.017380	22.639908	27.065062	-245.289749	318.083771	-546.603516	319.384735	395.153961	62.686005	272.998108	-32.256725	1.034508	1.034869	1.034508	1.035358	1.035409	1.035585	1.035388	1.035192	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092814	-0.120359	0.206827	-0.120851	-0.149521	-0.023720	-0.103299	0.012206
18.090000	27.001909	22.613434	27.062187	-245.570374	318.304230	-546.585693	318.996490	388.992371	62.765808	272.823517	-34.858524	1.034725	1.034831	1.034831	1.035687	1.035667	1.035784	1.035258	1.035326	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092921	-0.120442	0.206821	-0.120704	-0.147189	-0.023750	-0.103233	0.013190
21.353001	26.995882	22.633602	27.063187	-245.471786	317.863770	-546.048035	319.173584	393.065948	62.299435	272.705597	-34.618664	1.034878	1.035235	1.034850	1.035932	1.035776	1.035978	1.035419	1.035534	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092883	-0.120275	0.206617	-0.120771	-0.148731	-0.023573	-0.103188	0.013099
24.610001	26.986973	22.644966	27.063938	-244.991013	318.370270	-545.952820	319.487000	396.317566	63.072514	273.504059	-33.739849	1.035134	1.035224	1.035007	1.035968	1.035894	1.036067	1.035611	1.035498	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092701	-0.120467	0.206581	-0.120890	-0.149961	-0.023866	-0.103490	0.012767
27.865000	26.992308	22.620426	27.061375	-245.114334	318.631683	-546.227356	319.680969	396.060303	64.100266	273.148834	-32.384953	1.035025	1.035157	1.035052	1.035950	1.035966	1.036026	1.035378	1.035358	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092748	-0.120566	0.206685	-0.120963	-0.149864	-0.024255	-0.103356	0.012254
31.118000	26.981157	22.556553	27.062500	-245.160400	318.580353	-546.126404	319.718872	395.453888	62.912624	273.206207	-33.200333	1.034675	1.034927	1.034630	1.035497	1.035713	1.035816	1.035352	1.035192	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092765	-0.120547	0.206647	-0.120977	-0.149634	-0.023805	-0.103378	0.012563
34.372002	26.997696	22.587397	27.062937	-245.229904	318.428101	-545.779175	319.537537	396.652039	63.096523	273.081360	-34.140392	1.034806	1.034877	1.034662	1.035698	1.035746	1.035915	1.035368	1.035230	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092792	-0.120489	0.206516	-0.120909	-0.150088	-0.023875	-0.103330	0.012918
37.631001	26.995295	22.626108	27.064062	-245.199478	318.314240	-546.338745	319.506958	393.667450	62.755783	273.122101	-31.780138	1.034879	1.035014	1.034972	1.035815	1.035902	1.036104	1.035704	1.035594	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092780	-0.120446	0.206727	-0.120897	-0.148958	-0.023746	-0.103346	0.012025
40.889999	27.001429	22.639658	27.065563	-245.530472	317.815491	-546.417175	319.503693	394.244507	63.299778	273.171692	-31.509186	1.035235	1.035422	1.035104	1.035949	1.035889	1.036068	1.035613	1.035390	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092905	-0.120257	0.206757	-0.120896	-0.149177	-0.023952	-0.103364	0.011923
44.149002	26.979877	22.646152	27.066437	-245.688385	317.389008	-546.943237	318.582123	394.451965	62.311451	272.441162	-40.818645	1.034779	1.035040	1.034871	1.035825	1.035727	1.036064	1.035483	1.035420	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092965	-0.120096	0.206956	-0.120547	-0.149255	-0.023578	-0.103088	0.015445
47.407001	26.990761	22.640284	27.063938	-245.378998	317.885010	-546.489197	319.173370	395.089630	62.836029	272.621124	-30.286560	1.035085	1.035280	1.034947	1.035882	1.035831	1.036026	1.035713	1.035615	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092848	-0.120283	0.206784	-0.120771	-0.149497	-0.023776	-0.103156	0.011460
50.663002	26.984945	22.623487	27.064812	-245.551987	317.884796	-546.538086	319.022125	392.130310	63.029259	272.865448	-33.077477	1.035062	1.035212	1.034865	1.035811	1.035826	1.036087	1.035445	1.035558	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092914	-0.120283	0.206803	-0.120714	-0.148377	-0.023849	-0.103249	0.012516
53.918999	26.994389	22.616306	27.063313	-245.684128	317.830017	-546.620483	319.069305	392.652222	62.527733	272.769379	-40.562637	1.035165	1.035281	1.034905	1.035949	1.035992	1.036077	1.035771	1.035601	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092964	-0.120263	0.206834	-0.120732	-0.148574	-0.023660	-0.103212	0.015348
57.172001	26.990067	22.646090	27.064438	-245.867935	317.407806	-546.955200	318.921295	392.261993	62.651928	272.767181	-41.529739	1.035247	1.035342	1.035122	1.036073	1.036250	1.036469	1.035995	1.035933	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.093033	-0.120103	0.206960	-0.120676	-0.148427	-0.023707	-0.103211	0.015714
60.452000	27.002975	22.625984	27.062750	-245.620789	317.387512	-546.763489	319.149078	392.080963	62.604191	272.529572	-39.500618	1.035445	1.035185	1.034823	1.035708	1.035659	1.035985	1.035389	1.035389	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.092940	-0.120095	0.206888	-0.120762	-0.148358	-0.023689	-0.103122	0.014947
