T  (s)	T1	T2	T3	One	Two	Three	Four	Five	Six	Seven	Eight	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
8.316000	27.656471	22.430613	26.208000	-1215.282471	-1832.266235	-1873.692871	-2189.355713	-1079.801392	-695.728882	-142.863739	-949.101501	1.126121	1.126387	1.126196	1.126810	1.127218	1.127282	1.126799	1.126607	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.459847	0.693305	0.708980	0.828423	0.408582	0.263254	0.054058	0.359127
11.566000	27.676422	22.436295	26.208313	-1215.352051	-1831.006836	-1872.020874	-2187.404297	-1081.421997	-695.011536	-143.746933	-949.175232	1.126114	1.126373	1.126231	1.126836	1.127216	1.127317	1.126788	1.126608	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.459873	0.692828	0.708348	0.827684	0.409196	0.262983	0.054392	0.359155
14.852000	27.734674	22.431425	26.207813	-1211.760254	-1828.549561	-1870.702026	-2191.226074	-1085.553345	-693.958740	-146.751740	-948.630188	1.126143	1.126389	1.126204	1.126794	1.127179	1.127249	1.126738	1.126577	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.458514	0.691899	0.707849	0.829130	0.410759	0.262585	0.055529	0.358949
18.112000	27.875557	22.446035	26.209375	-1208.933838	-1826.375000	-1869.398804	-2185.547119	-1086.867310	-692.627869	-150.076645	-949.172913	1.126132	1.126381	1.126200	1.126778	1.127216	1.127254	1.126776	1.126579	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.457444	0.691076	0.707355	0.826982	0.411256	0.262081	0.056787	0.359154
21.372000	27.667459	22.427240	26.210125	-1206.782593	-1824.981812	-1868.002808	-2180.615234	-1089.745483	-691.614136	-153.571457	-954.988342	1.126163	1.126418	1.126229	1.126858	1.127243	1.127277	1.126799	1.126594	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.456630	0.690549	0.706827	0.825116	0.412345	0.261698	0.058109	0.361355
24.653000	27.709602	22.436607	26.210937	-1205.920288	-1825.789673	-1866.877075	-2178.286133	-1092.970703	-690.788818	-154.831360	-950.684021	1.126175	1.126419	1.126255	1.126858	1.127233	1.127317	1.126778	1.126624	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.456304	0.690854	0.706401	0.824234	0.413565	0.261385	0.058586	0.359726
27.910999	27.783112	22.445162	26.210875	-1206.401611	-1827.320679	-1867.389526	-2177.948975	-1091.278198	-690.749329	-156.942825	-952.654236	1.126177	1.126404	1.126215	1.126853	1.127265	1.127311	1.126794	1.126648	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.456486	0.691434	0.706595	0.824107	0.412925	0.261370	0.059385	0.360472
31.172001	27.767427	22.428740	26.212749	-1207.608032	-1828.272949	-1868.157593	-2179.480957	-1091.151489	-692.163025	-158.929489	-953.459473	1.126154	1.126417	1.126219	1.126811	1.127240	1.127289	1.126765	1.126606	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.456943	0.691794	0.706886	0.824686	0.412877	0.261905	0.060137	0.360776
34.430000	27.938450	22.445786	26.212376	-1209.251099	-1830.737305	-1869.100586	-2182.385986	-1085.082397	-693.613525	-160.486969	-955.786499	1.126174	1.126422	1.126217	1.126817	1.127213	1.127309	1.126785	1.126582	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.457564	0.692726	0.707243	0.825786	0.410581	0.262454	0.060726	0.361657
37.691002	27.942131	22.444662	26.213751	-1211.164062	-1832.785645	-1869.972046	-2183.471191	-1077.516602	-696.899353	-161.930023	-956.381226	1.126163	1.126391	1.126220	1.126842	1.127280	1.127308	1.126785	1.126618	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.458288	0.693501	0.707572	0.826196	0.407718	0.263697	0.061272	0.361882
40.953999	27.860407	22.461645	26.212313	-1212.630127	-1834.129517	-1872.620605	-2188.175781	-1079.584351	-700.661438	-162.422424	-958.914429	1.126166	1.126376	1.126190	1.126815	1.127270	1.127306	1.126795	1.126622	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.458843	0.694010	0.708575	0.827976	0.408500	0.265121	0.061458	0.362840
44.216000	28.047487	22.472197	26.209625	-1215.332520	-1838.010498	-1874.518677	-2192.593506	-1081.452759	-703.229248	-160.976028	-960.113953	1.126128	1.126369	1.126190	1.126815	1.127224	1.127288	1.126793	1.126590	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.459865	0.695478	0.709293	0.829648	0.409207	0.266092	0.060911	0.363294
47.469002	27.784765	22.461645	26.209499	-1217.368652	-1840.643799	-1876.725708	-2194.928711	-1081.314697	-705.052429	-157.320526	-961.494873	1.126158	1.126387	1.126227	1.126852	1.127242	1.127317	1.126794	1.126582	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.460636	0.696475	0.710128	0.830531	0.409155	0.266782	0.059528	0.363817
50.723999	27.882759	22.450655	26.210625	-1219.329468	-1840.150391	-1876.787231	-2196.873047	-1084.994995	-708.385681	-159.031113	-962.225769	1.126153	1.126395	1.126204	1.126851	1.127217	1.127310	1.126790	1.126626	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.461378	0.696288	0.710151	0.831267	0.410548	0.268044	0.060175	0.364093
53.978001	28.049622	22.453840	26.210751	-1219.855347	-1838.119629	-1877.963989	-2201.157227	-1089.722534	-709.689697	-158.320435	-959.896362	1.126151	1.126417	1.126210	1.126842	1.127230	1.127314	1.126794	1.126640	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.461577	0.695520	0.710596	0.832888	0.412336	0.268537	0.059906	0.363212
57.229000	28.005026	22.438667	26.212500	-1220.686646	-1838.624146	-1879.275879	-2204.005371	-1092.342285	-708.780334	-158.973938	-959.998474	1.126169	1.126413	1.126250	1.126829	1.127239	1.127324	1.126794	1.126596	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.461891	0.695711	0.711093	0.833966	0.413328	0.268193	0.060154	0.363251
60.486000	27.837202	22.440790	26.209249	-1222.022217	-1837.501343	-1879.096680	-2206.663330	-1097.539062	-709.041016	-159.125778	-958.437683	1.126162	1.126379	1.126199	1.126793	1.127188	1.127317	1.126784	1.126600	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462397	0.695286	0.711025	0.834972	0.415294	0.268292	0.060211	0.362660
63.740002	28.214724	22.450531	26.207874	-1221.571289	-1837.599731	-1879.624390	-2204.796631	-1097.959961	-706.162659	-159.820709	-954.761169	1.126134	1.126411	1.126175	1.126857	1.127240	1.127332	1.126774	1.126596	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462226	0.695323	0.711225	0.834265	0.415453	0.267202	0.060474	0.361269
66.995003	27.791647	22.440290	26.207687	-1221.800781	-1837.438599	-1879.677734	-2201.927490	-1098.392090	-704.555725	-160.665009	-953.280701	1.126142	1.126392	1.126205	1.126804	1.127230	1.127269	1.126751	1.126586	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462313	0.695262	0.711245	0.833180	0.415617	0.266594	0.060793	0.360709
70.250000	27.895988	22.444599	26.207188	-1221.626831	-1837.774414	-1880.443604	-2198.168701	-1100.447998	-702.521790	-160.415314	-951.484314	1.126165	1.126424	1.126212	1.126811	1.127212	1.127299	1.126776	1.126618	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462247	0.695389	0.711535	0.831757	0.416395	0.265825	0.060699	0.360029
73.510002	27.667940	22.438917	26.206499	-1222.259033	-1838.360474	-1879.999146	-2201.030762	-1101.559082	-701.719360	-161.962921	-951.330994	1.126168	1.126420	1.126221	1.126850	1.127240	1.127293	1.126770	1.126575	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462486	0.695611	0.711366	0.832840	0.416815	0.265521	0.061285	0.359971
76.765999	27.587175	22.445223	26.204624	-1221.655640	-1839.931274	-1880.284302	-2196.693115	-1102.872070	-700.129333	-164.171463	-950.426086	1.126126	1.126374	1.126203	1.126809	1.127248	1.127331	1.126758	1.126610	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462258	0.696205	0.711474	0.831199	0.417312	0.264920	0.062120	0.359628
80.025002	27.277563	22.453215	26.207125	-1221.472534	-1840.225464	-1880.320923	-2195.823486	-1102.810425	-699.005432	-164.169327	-949.725464	1.126153	1.126382	1.126214	1.126801	1.127203	1.127279	1.126773	1.126613	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462189	0.696317	0.711488	0.830870	0.417289	0.264494	0.062119	0.359363
83.278999	27.697493	22.474445	26.207001	-1221.240601	-1841.854370	-1881.212524	-2192.489746	-1104.686523	-698.066345	-165.166885	-949.209534	1.126138	1.126378	1.126211	1.126820	1.127241	1.127316	1.126799	1.126617	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462101	0.696933	0.711826	0.829609	0.417999	0.264139	0.062497	0.359168
86.535004	27.779537	22.477755	26.204437	-1221.717896	-1843.087402	-1881.066772	-2193.263428	-1103.555664	-697.724976	-166.115707	-949.404114	1.126201	1.126433	1.126238	1.126861	1.127216	1.127302	1.126767	1.126608	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462282	0.697399	0.711770	0.829901	0.417571	0.264010	0.062856	0.359242
89.788002	27.585522	22.486120	26.203375	-1222.512207	-1843.925171	-1881.816162	-2192.956543	-1104.684326	-696.635132	-166.870621	-948.975464	1.126159	1.126379	1.126262	1.126851	1.127275	1.127327	1.126758	1.126623	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.462582	0.697716	0.712054	0.829785	0.417998	0.263597	0.063142	0.359080
93.044998	27.562477	22.468700	26.202749	-1223.698975	-1845.793945	-1882.870361	-2191.829346	-1105.032715	-697.009827	-168.520538	-948.586792	1.126163	1.126383	1.126196	1.126790	1.127232	1.127298	1.126782	1.126616	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.463031	0.698424	0.712453	0.829359	0.418130	0.263739	0.063766	0.358932
96.306000	27.774843	22.456150	26.201250	-1224.360474	-1846.730835	-1882.989502	-2191.159668	-1100.847168	-696.158264	-168.558136	-948.171021	1.126186	1.126414	1.126240	1.126867	1.127267	1.127320	1.126813	1.126592	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.463282	0.698778	0.712498	0.829105	0.416546	0.263417	0.063780	0.358775
99.571999	27.503904	22.456400	26.202625	-1224.764160	-1847.519653	-1883.816772	-2192.595947	-1102.473755	-695.804565	-169.183594	-948.070679	1.126148	1.126384	1.126215	1.126842	1.127265	1.127316	1.126795	1.126620	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.463434	0.699077	0.712811	0.829649	0.417161	0.263283	0.064017	0.358737
102.832001	27.534525	22.467951	26.202499	-1226.284790	-1848.243530	-1884.296631	-2193.234375	-1101.027344	-696.206665	-169.413910	-947.675903	1.126180	1.126422	1.126257	1.126854	1.127295	1.127331	1.126810	1.126647	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.464010	0.699351	0.712993	0.829890	0.416614	0.263435	0.064104	0.358588
106.092003	27.658657	22.465017	26.201563	-1227.629639	-1848.945190	-1884.947632	-2193.261719	-1099.201294	-696.103149	-171.556290	-946.604797	1.126173	1.126422	1.126264	1.126868	1.127377	1.127431	1.126908	1.126761	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.464519	0.699616	0.713239	0.829901	0.415923	0.263396	0.064915	0.358183
109.350998	27.230619	22.487682	26.201563	-1228.306274	-1849.093994	-1885.685669	-2193.822754	-1101.086182	-695.914795	-171.292847	-946.408813	1.126278	1.126504	1.126321	1.126966	1.127369	1.127430	1.126894	1.126713	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.464775	0.699672	0.713518	0.830113	0.416636	0.263325	0.064815	0.358108
112.604004	27.675035	22.475569	26.200937	-1228.992432	-1850.953735	-1886.448975	-2193.920410	-1098.518555	-695.850220	-171.774384	-946.617798	1.126305	1.126512	1.126381	1.126947	1.127346	1.127436	1.126909	1.126759	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.465034	0.700376	0.713807	0.830150	0.415665	0.263300	0.064997	0.358187
115.863998	27.636414	22.487556	26.200750	-1230.857666	-1851.900146	-1888.253662	-2194.210449	-1100.319458	-696.134460	-172.011200	-946.748352	1.126305	1.126498	1.126331	1.126962	1.127377	1.127403	1.126872	1.126730	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.465740	0.700734	0.714490	0.830260	0.416346	0.263408	0.065087	0.358237
119.123001	27.500063	22.495300	26.198250	-1231.673706	-1852.680908	-1888.953735	-2195.743896	-1099.134033	-696.800781	-174.233521	-946.726562	1.126253	1.126496	1.126332	1.126943	1.127370	1.127431	1.126932	1.126749	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.466049	0.701030	0.714755	0.830840	0.415898	0.263660	0.065928	0.358229
122.383003	27.444693	22.474195	26.200001	-1233.399536	-1853.403442	-1890.656982	-2197.031006	-1099.887329	-696.558960	-174.452576	-947.009399	1.126310	1.126532	1.126332	1.126957	1.127384	1.127426	1.126895	1.126737	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.466702	0.701303	0.715399	0.831327	0.416183	0.263569	0.066011	0.358336
125.643997	27.563065	22.460896	26.199062	-1234.849976	-1854.340088	-1891.680908	-2198.510254	-1099.961426	-696.896606	-175.325089	-946.865173	1.126299	1.126537	1.126366	1.126978	1.127370	1.127429	1.126940	1.126759	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.467251	0.701657	0.715787	0.831887	0.416211	0.263696	0.066341	0.358281
128.904007	27.401430	22.453964	26.198063	-1236.806885	-1855.582764	-1893.418213	-2197.863037	-1101.335083	-696.393677	-175.992447	-946.767151	1.126271	1.126477	1.126304	1.126902	1.127360	1.127426	1.126883	1.126720	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.467991	0.702128	0.716444	0.831642	0.416730	0.263506	0.066593	0.358244
132.166000	27.632519	22.458273	26.197624	-1238.333496	-1855.785522	-1893.794434	-2199.290039	-1105.574707	-697.265503	-178.008484	-947.350098	1.126240	1.126493	1.126326	1.126914	1.127327	1.127399	1.126893	1.126715	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.468569	0.702204	0.716586	0.832182	0.418335	0.263836	0.067356	0.358465
135.425003	27.578215	22.449282	26.200251	-1239.862183	-1856.910034	-1896.372559	-2199.405762	-1108.695923	-698.203979	-178.278549	-948.166565	1.126265	1.126500	1.126329	1.126927	1.127337	1.127429	1.126887	1.126719	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.469147	0.702630	0.717562	0.832226	0.419516	0.264191	0.067458	0.358773
138.682999	27.544340	22.471510	26.199062	-1241.874268	-1857.823853	-1898.108521	-2200.991455	-1110.746704	-698.165771	-179.226242	-948.322205	1.126255	1.126472	1.126296	1.126889	1.127330	1.127400	1.126909	1.126743	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.469909	0.702976	0.718219	0.832826	0.420292	0.264177	0.067817	0.358832
141.945007	27.550634	22.459459	26.199375	-1243.535278	-1859.075439	-1899.721680	-2199.832764	-1113.896118	-698.382080	-181.417892	-948.473755	1.126296	1.126519	1.126341	1.126947	1.127345	1.127420	1.126899	1.126730	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.470537	0.703449	0.718829	0.832387	0.421483	0.264258	0.068646	0.358890
145.205002	27.506998	22.464268	26.199125	-1244.994263	-1859.848022	-1901.429687	-2202.548096	-1115.861328	-699.305847	-183.382034	-949.285278	1.126305	1.126523	1.126341	1.126949	1.127348	1.127422	1.126937	1.126728	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.471089	0.703741	0.719475	0.833415	0.422227	0.264608	0.069389	0.359197
148.462997	27.480379	22.471323	26.197063	-1247.175293	-1861.479248	-1902.769287	-2203.244141	-1118.452515	-699.856689	-183.628311	-949.361694	1.126303	1.126524	1.126369	1.126978	1.127386	1.127440	1.126936	1.126739	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.471914	0.704359	0.719982	0.833678	0.423207	0.264816	0.069482	0.359226
151.723007	27.555542	22.476192	26.199125	-1247.914673	-1862.134277	-1904.580811	-2203.574951	-1121.261475	-700.461609	-185.532364	-950.272522	1.126301	1.126534	1.126354	1.126985	1.127372	1.127468	1.126960	1.126782	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.472194	0.704607	0.720668	0.833803	0.424270	0.265045	0.070203	0.359570
154.979004	27.474566	22.484623	26.198376	-1250.901489	-1862.883667	-1906.595581	-2206.253662	-1123.712158	-701.517700	-186.320160	-951.124207	1.126314	1.126528	1.126342	1.126972	1.127385	1.127421	1.126931	1.126736	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.473324	0.704890	0.721430	0.834817	0.425198	0.265445	0.070501	0.359893
158.240997	27.470724	22.459272	26.198376	-1252.652100	-1862.997437	-1908.341187	-2211.745117	-1126.436401	-702.801819	-187.494904	-951.797668	1.126281	1.126541	1.126369	1.126975	1.127355	1.127412	1.126894	1.126719	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.473987	0.704933	0.722091	0.836895	0.426228	0.265931	0.070946	0.360147
161.500000	27.509453	22.481375	26.196375	-1255.454956	-1864.145630	-1910.821167	-2213.890625	-1130.362549	-704.096863	-188.856415	-953.732910	1.126256	1.126502	1.126329	1.126958	1.127371	1.127417	1.126880	1.126724	1.000000	1.000000	9800.000000	50.000000	600.000000	27.000000	0.475047	0.705368	0.723029	0.837706	0.427714	0.266421	0.071461	0.360880
