T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
8.437000,26.993080,22.811928,27.111687,475.553680,146.561111,-59.988747,191.237793,316.490753,1645.053101,1582.031494,1920.162476,1.163398,1.163517,1.163353,1.163814,1.163956,1.163926,1.163660,1.163534,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179943,-0.055457,0.022699,-0.072362,-0.119756,-0.622466,-0.598619,-0.726564
11.872000,26.976704,22.835903,27.112249,474.678497,146.308914,-60.041126,190.891220,316.166992,1643.306519,1581.854004,1920.655396,1.163365,1.163488,1.163332,1.163798,1.163947,1.163929,1.163676,1.163530,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179612,-0.055361,0.022719,-0.072231,-0.119633,-0.621805,-0.598552,-0.726750
15.315001,26.970303,22.837029,27.114250,474.501099,145.889969,-61.196022,190.221893,315.492401,1642.932007,1581.742676,1920.050171,1.163334,1.163468,1.163308,1.163806,1.163938,1.163921,1.163647,1.163527,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179545,-0.055203,0.023156,-0.071977,-0.119378,-0.621663,-0.598510,-0.726521
18.723999,26.969501,22.830347,27.112562,474.658752,145.847504,-61.059010,190.357803,315.711182,1642.330933,1581.393921,1919.245972,1.163374,1.163502,1.163331,1.163831,1.163954,1.163916,1.163665,1.163515,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179605,-0.055187,0.023104,-0.072029,-0.119461,-0.621436,-0.598378,-0.726217
22.473999,26.984280,22.820419,27.112749,474.220947,145.286774,-61.449261,190.111740,315.503784,1643.183228,1580.688354,1919.221436,1.163361,1.163491,1.163318,1.163789,1.163955,1.163949,1.163679,1.163543,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179439,-0.054975,0.023252,-0.071936,-0.119382,-0.621758,-0.598111,-0.726208
26.118999,26.959579,22.852762,27.112249,474.751617,145.062286,-61.132816,189.344131,314.858856,1642.576538,1581.565552,1918.229980,1.163355,1.163524,1.163364,1.163800,1.163951,1.163954,1.163675,1.163539,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179640,-0.054890,0.023132,-0.071645,-0.119138,-0.621529,-0.598443,-0.725832
29.677000,26.968756,22.845333,27.112812,474.607391,145.318375,-61.161552,189.482544,314.920319,1642.705322,1581.009155,1917.722046,1.163354,1.163505,1.163344,1.163814,1.163970,1.163947,1.163686,1.163553,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179585,-0.054987,0.023143,-0.071698,-0.119162,-0.621578,-0.598233,-0.725640
33.227001,26.951525,22.856071,27.113438,474.391846,145.007339,-61.912178,189.351730,314.060455,1642.310303,1580.948608,1918.615967,1.163370,1.163509,1.163322,1.163821,1.163978,1.163944,1.163669,1.163526,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179504,-0.054869,0.023427,-0.071648,-0.118836,-0.621428,-0.598210,-0.725978
36.841000,26.956966,22.869184,27.111687,474.688995,144.484253,-62.098057,189.529266,314.921295,1641.899536,1580.189331,1917.996338,1.163369,1.163501,1.163359,1.163841,1.163972,1.163920,1.163687,1.163550,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179616,-0.054671,0.023497,-0.071715,-0.119162,-0.621273,-0.597922,-0.725744
40.463001,26.984865,22.854822,27.112438,474.687988,144.806000,-61.943119,189.189941,314.065460,1640.966187,1582.337769,1917.317627,1.163365,1.163506,1.163326,1.163815,1.163964,1.163904,1.163661,1.163513,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.179616,-0.054793,0.023438,-0.071587,-0.118838,-0.620920,-0.598735,-0.725487
