T  (s),T1,T2,T3,One,Two,Three,Four,Five,Six,Seven,Eight,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
8.319000,26.949657,22.611437,27.284563,1675.350098,401.699982,-249.672470,-417.851074,-646.855652,1079.137817,1740.992798,2055.223633,1.165467,1.165599,1.165436,1.165902,1.166052,1.166015,1.165692,1.165615,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.633930,-0.151998,0.094473,0.158109,0.244761,-0.408331,-0.658768,-0.777669
11.601000,26.946831,22.622551,27.280687,1675.386230,401.388458,-250.251068,-417.928497,-646.296082,1079.352905,1740.799683,2054.981445,1.165425,1.165598,1.165439,1.165918,1.166088,1.166039,1.165737,1.165623,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.633944,-0.151880,0.094692,0.158139,0.244550,-0.408413,-0.658695,-0.777577
14.882000,26.954565,22.649336,27.282625,1675.364258,401.849640,-249.275909,-418.027740,-646.118835,1079.778809,1740.897217,2055.668945,1.165450,1.165599,1.165420,1.165880,1.166079,1.166024,1.165695,1.165592,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.633935,-0.152055,0.094323,0.158176,0.244483,-0.408574,-0.658732,-0.777838
18.140999,26.966354,22.636349,27.283562,1675.326050,402.020294,-249.890594,-418.526703,-646.138245,1080.227417,1740.870728,2055.795166,1.165422,1.165581,1.165400,1.165857,1.166031,1.165966,1.165644,1.165582,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.633921,-0.152119,0.094555,0.158365,0.244490,-0.408744,-0.658722,-0.777885
21.437000,26.963421,22.627357,27.284876,1676.104492,402.244934,-249.833374,-418.310059,-645.923157,1080.356689,1741.674561,2056.021484,1.165427,1.165590,1.165438,1.165853,1.166031,1.166007,1.165674,1.165587,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634215,-0.152204,0.094534,0.158283,0.244409,-0.408792,-0.659026,-0.777971
24.695000,26.941229,22.655455,27.282438,1676.123901,402.157623,-249.706619,-418.094604,-645.980591,1080.528809,1742.397827,2057.401123,1.165404,1.165598,1.165438,1.165918,1.166043,1.165972,1.165623,1.165598,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634223,-0.152171,0.094486,0.158201,0.244430,-0.408858,-0.659300,-0.778493
27.958000,26.934668,22.659513,27.285313,1677.644043,402.481903,-250.017303,-418.350067,-646.017334,1079.885376,1741.640869,2055.578857,1.165390,1.165547,1.165377,1.165848,1.166015,1.165987,1.165632,1.165582,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634798,-0.152294,0.094603,0.158298,0.244444,-0.408614,-0.659013,-0.777803
31.212000,26.930134,22.655455,27.283688,1676.370850,403.035522,-249.731812,-418.064911,-645.545837,1081.495605,1743.240723,2056.730713,1.165414,1.165559,1.165366,1.165850,1.166017,1.165938,1.165616,1.165571,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634316,-0.152503,0.094495,0.158190,0.244266,-0.409223,-0.659619,-0.778239
34.473999,26.954033,22.662823,27.284937,1677.363281,403.157013,-250.004852,-418.192200,-642.506042,1081.469238,1743.030396,2056.990234,1.165391,1.165520,1.165332,1.165829,1.165964,1.165906,1.165575,1.165532,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634692,-0.152549,0.094598,0.158238,0.243116,-0.409213,-0.659539,-0.778337
37.729000,26.948805,22.683741,27.285313,1677.359253,402.662323,-248.239746,-417.302521,-644.937317,1081.529907,1744.533569,2059.475830,1.165336,1.165546,1.165337,1.165804,1.165968,1.165950,1.165651,1.165554,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.634690,-0.152362,0.093931,0.157902,0.244036,-0.409236,-0.660108,-0.779278
