T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
8.379999,4386.914551,4601.634766,4184.875488,345.173035,-762.483154,-647.033264,-413.037933,-2225.150146,1.0,3.0
11.82,4393.239258,4601.821777,4183.955078,343.401398,-763.94751,-647.290405,-412.299713,-2224.224121,1.0,3.0
15.78,4395.126465,4602.858887,4183.729492,343.831451,-764.167542,-647.771118,-412.933594,-2225.789551,1.0,3.0
19.279999,4392.913574,4601.254395,4182.666016,343.852783,-764.231812,-645.782043,-411.866364,-2225.22998,1.0,3.0
22.779999,4393.102539,4601.171387,4183.799316,343.49826,-764.728455,-642.232422,-409.667633,-2214.053467,1.0,3.0
26.719999,4394.185547,4601.463867,4183.500977,342.033691,-764.753479,-642.623047,-397.146606,-2199.440186,1.0,3.0
30.279999,4392.342285,4600.710449,4183.426758,342.305756,-759.812622,-623.30658,-377.205292,-2183.599365,1.0,3.0
33.779999,4392.015625,4600.649902,4183.916016,353.221008,-737.967712,-606.340271,-370.140381,-2191.234375,1.0,3.0
37.32,4392.044922,4601.992187,4186.748047,379.897125,-732.769653,-612.087952,-381.622803,-2217.742187,1.0,3.0
40.779999,4399.463867,4615.972656,4192.835449,374.237976,-744.539185,-644.328918,-412.539398,-2241.017334,1.0,3.0
44.970001,4406.107422,4614.119629,4191.6875,339.592163,-780.191711,-669.469238,-425.422485,-2234.719238,1.0,3.0
48.470001,4406.640137,4599.819336,4180.720703,324.354706,-781.491394,-664.41687,-419.446564,-2220.265381,1.0,3.0
51.919998,4385.856934,4593.960449,4178.655762,327.889709,-772.793213,-661.951172,-418.10611,-2234.633545,1.0,3.0
55.419998,4387.252441,4596.099609,4181.021973,332.167297,-775.596802,-661.182983,-416.764404,-2235.162354,1.0,3.0
58.919998,4396.498535,4596.442871,4180.888672,332.193329,-775.702942,-661.550232,-417.690155,-2235.10791,1.0,3.0
62.419998,4389.516602,4596.321289,4180.773437,331.795441,-775.068787,-660.819458,-415.661926,-2234.932373,1.0,3.0
